정선해양관측정보,,,,,,,,,,,,,,,,,,,,,,
해역,정선,정점,정선-정점,위도(˚N),경도(˚E),관측일시(KST),관측수심(m),수온(℃),"수온
QC Flag",염분(psu),"염분
QC Flag",용존산소(ml/L),"용존산소
QC Flag",QC Level,"인산염인 
(μmol/L)","아질산질소
(μmol/L)","질산질소
(μmol/L)","규산규소
(μmol/L)",PH,투명도(m),기압(hPa),조사선
동해,102,07,102-07,36.0767,130,2019-02-22 09:44,0,14.8193,2,34.5263,2,6.5,2,0,0.3221,0.388367,2.94548,5.214455,,12.1,1027,탐구 3
동해,102,07,102-07,36.0767,130,2019-02-22 09:44,10,14.816,2,34.5263,2,6.5,2,0,,,2.94548,,,12.1,1027,탐구 3
동해,102,07,102-07,36.0767,130,2019-02-22 09:44,20,14.018,2,34.4498,2,5.43,2,0,0.324825,0.262065,3.068877,5.184519,,12.1,1027,탐구 3
동해,102,07,102-07,36.0767,130,2019-02-22 09:44,30,12.9219,2,34.3962,2,5.43,2,0,,,3.068877,,,12.1,1027,탐구 3
동해,102,07,102-07,36.0767,130,2019-02-22 09:44,50,11.6799,2,34.3018,2,5.37,2,0,0.49445,0.261263,5.970848,8.234493,,12.1,1027,탐구 3
동해,102,07,102-07,36.0767,130,2019-02-22 09:44,75,11.5887,2,34.3042,2,5.37,2,0,,,5.970848,,,12.1,1027,탐구 3
동해,102,07,102-07,36.0767,130,2019-02-22 09:44,100,11.3067,2,34.3087,2,5.31,2,0,0.496075,0.24946,5.918932,8.05925,,12.1,1027,탐구 3
동해,102,07,102-07,36.0767,130,2019-02-22 09:44,125,11.0608,2,34.3159,2,,2,0,,,,,,12.1,1027,탐구 3
동해,102,07,102-07,36.0767,130,2019-02-22 09:44,150,8.7443,2,34.1908,2,,2,0,,,,,,12.1,1027,탐구 3
동해,102,07,102-07,36.0767,130,2019-02-22 09:44,200,3.3194,2,34.0664,2,,2,0,,,,,,12.1,1027,탐구 3
동해,102,07,102-07,36.0767,130,2019-02-22 09:44,250,1.6277,2,34.0405,2,,2,0,,,,,,12.1,1027,탐구 3
동해,102,07,102-07,36.0767,130,2019-02-22 09:44,300,0.9613,2,34.036,2,,2,0,,,,,,12.1,1027,탐구 3
동해,102,07,102-07,36.0767,130,2019-02-22 09:44,400,0.7765,2,34.0466,2,,2,0,,,,,,12.1,1027,탐구 3
동해,102,07,102-07,36.0767,130,2019-02-22 09:44,500,0.6572,2,34.0555,2,,2,0,,,,,,12.1,1027,탐구 3
동해,102,07,102-07,36.0767,130,2019-04-23 07:35,0,15.7323,2,34.5166,2,7.07,2,0,0.018771,0.005969,0.085308,2.922667,,,1021,탐구 3
동해,102,07,102-07,36.0767,130,2019-04-23 07:35,10,15.416,2,34.5052,2,7.07,2,0,,,0.085308,,,,1021,탐구 3
동해,102,07,102-07,36.0767,130,2019-04-23 07:35,20,15.0143,2,34.4693,2,6.17,2,0,0.043657,0.013339,0.006213,2.991262,,,1021,탐구 3
동해,102,07,102-07,36.0767,130,2019-04-23 07:35,30,14.9187,2,34.4721,2,6.17,2,0,,,0.006213,,,,1021,탐구 3
동해,102,07,102-07,36.0767,130,2019-04-23 07:35,50,14.411,2,34.4199,2,5.6,2,0,0.375943,0.879147,3.725809,8.905948,,,1021,탐구 3
동해,102,07,102-07,36.0767,130,2019-04-23 07:35,75,13.4602,2,34.2985,2,5.6,2,0,,,3.725809,,,,1021,탐구 3
동해,102,07,102-07,36.0767,130,2019-04-23 07:35,100,12.5168,2,34.4295,2,5.3,2,0,0.501729,1.076555,5.289862,6.117889,,,1021,탐구 3
동해,102,07,102-07,36.0767,130,2019-04-23 07:35,125,8.7542,2,34.2548,2,,2,0,,,,,,,1021,탐구 3
동해,102,07,102-07,36.0767,130,2019-04-23 07:35,150,5.8355,2,34.1338,2,,2,0,,,,,,,1021,탐구 3
동해,102,07,102-07,36.0767,130,2019-04-23 07:35,200,2.0728,2,34.0291,2,,2,0,,,,,,,1021,탐구 3
